CMDLINE python .\QIX_Raphael_DAVIOT_Abdelrahim_RICHE.py
MEM 2.066406 1766157027.5574
MEM 22.250000 1766157027.6700
MEM 29.917969 1766157027.7826
MEM 34.394531 1766157027.9156
MEM 39.394531 1766157028.0279
MEM 43.808594 1766157028.1542
MEM 43.808594 1766157028.2720
MEM 43.820312 1766157028.3859
MEM 43.820312 1766157028.4998
MEM 39.312500 1766157028.6105
MEM 39.312500 1766157028.7289
MEM 39.312500 1766157028.8398
MEM 39.312500 1766157028.9523
MEM 39.312500 1766157029.0692
MEM 36.167969 1766157029.2423
MEM 37.312500 1766157029.4119
MEM 47.378906 1766157029.5423
MEM 48.789062 1766157029.6745
MEM 48.789062 1766157029.8042
MEM 48.789062 1766157029.9159
MEM 48.789062 1766157030.0279
MEM 44.968750 1766157030.1394
MEM 44.968750 1766157030.2525
MEM 44.968750 1766157030.3675
MEM 39.468750 1766157030.4952
MEM 41.234375 1766157030.6081
MEM 41.386719 1766157030.7229
MEM 43.324219 1766157030.8498
MEM 43.324219 1766157030.9670
MEM 43.324219 1766157031.0936
MEM 43.332031 1766157031.2063
MEM 43.339844 1766157031.3188
MEM 42.921875 1766157031.4300
MEM 42.929688 1766157031.5411
MEM 43.019531 1766157031.6538
MEM 43.082031 1766157031.7662
MEM 43.097656 1766157031.8777
MEM 43.097656 1766157031.9893
MEM 43.148438 1766157032.1026
MEM 43.148438 1766157032.2137
MEM 43.156250 1766157032.3249
MEM 43.125000 1766157032.4361
MEM 43.125000 1766157032.5470
MEM 43.125000 1766157032.6586
MEM 43.164062 1766157032.7714
MEM 43.164062 1766157032.8829
MEM 43.171875 1766157032.9939
MEM 44.148438 1766157033.1050
MEM 44.148438 1766157033.2163
MEM 44.148438 1766157033.3283
MEM 43.839844 1766157033.4445
MEM 43.839844 1766157033.5585
MEM 43.843750 1766157033.6711
MEM 43.843750 1766157033.7829
MEM 43.945312 1766157033.8939
MEM 43.945312 1766157034.0048
MEM 43.945312 1766157034.1161
MEM 43.945312 1766157034.2269
MEM 43.945312 1766157034.3385
MEM 43.832031 1766157034.4498
MEM 43.835938 1766157034.5612
MEM 43.839844 1766157034.6743
MEM 43.847656 1766157034.7867
MEM 43.847656 1766157034.8977
MEM 43.847656 1766157035.0099
MEM 43.847656 1766157035.1210
MEM 43.847656 1766157035.2317
MEM 43.847656 1766157035.3429
MEM 43.753906 1766157035.4537
MEM 43.839844 1766157035.5650
MEM 43.839844 1766157035.6783
MEM 43.839844 1766157035.7909
MEM 43.843750 1766157035.9026
MEM 43.843750 1766157036.0153
MEM 43.843750 1766157036.1269
MEM 43.847656 1766157036.2383
MEM 43.847656 1766157036.3489
MEM 43.847656 1766157036.4608
MEM 43.843750 1766157036.5733
MEM 43.843750 1766157036.6856
MEM 43.843750 1766157036.7964
MEM 43.843750 1766157036.9096
MEM 43.843750 1766157037.0212
MEM 43.843750 1766157037.1318
MEM 43.843750 1766157037.2439
MEM 43.843750 1766157037.3562
MEM 43.753906 1766157037.4682
MEM 43.753906 1766157037.5822
MEM 43.753906 1766157037.6954
MEM 43.753906 1766157037.8191
MEM 43.753906 1766157037.9300
MEM 43.753906 1766157038.0422
MEM 43.753906 1766157038.1549
MEM 43.753906 1766157038.2658
MEM 43.753906 1766157038.3781
MEM 43.753906 1766157038.4947
MEM 43.753906 1766157038.6079
MEM 43.753906 1766157038.7184
MEM 43.753906 1766157038.8305
MEM 43.753906 1766157038.9429
MEM 43.753906 1766157039.0546
MEM 43.753906 1766157039.1688
MEM 43.753906 1766157039.2814
MEM 43.753906 1766157039.3947
MEM 43.753906 1766157039.5069
MEM 43.753906 1766157039.6174
MEM 43.753906 1766157039.7282
MEM 43.753906 1766157039.8391
MEM 43.753906 1766157039.9498
MEM 43.753906 1766157040.0633
MEM 43.753906 1766157040.1745
MEM 43.753906 1766157040.2886
MEM 43.753906 1766157040.4018
MEM 43.753906 1766157040.5131
MEM 43.753906 1766157040.6249
MEM 43.753906 1766157040.7362
MEM 43.753906 1766157040.8495
MEM 43.753906 1766157040.9613
MEM 43.753906 1766157041.0721
MEM 43.753906 1766157041.1878
MEM 43.753906 1766157041.3040
MEM 43.753906 1766157041.4166
MEM 43.753906 1766157041.5275
MEM 43.753906 1766157041.6383
MEM 43.753906 1766157041.7498
MEM 44.152344 1766157041.9038
