CMDLINE C:\Users\riche\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\python.exe QIX_Raphael_DAVIOT_&_Abdelrahim_RICHE.py
MEM 2.011719 1766145483.2361
MEM 16.804688 1766145483.3365
MEM 24.160156 1766145483.4367
MEM 28.273438 1766145483.5370
MEM 31.636719 1766145483.6373
MEM 34.804688 1766145483.7379
MEM 37.589844 1766145483.8383
MEM 41.277344 1766145483.9388
MEM 44.539062 1766145484.0393
MEM 49.339844 1766145484.1395
MEM 54.664062 1766145484.2402
MEM 60.253906 1766145484.3408
MEM 66.363281 1766145484.4411
MEM 71.980469 1766145484.5413
MEM 76.117188 1766145484.6418
MEM 85.753906 1766145484.7424
MEM 86.960938 1766145484.9079
MEM 86.960938 1766145485.0089
MEM 86.960938 1766145485.1094
MEM 86.972656 1766145485.2096
MEM 78.851562 1766145485.3100
MEM 78.851562 1766145485.4103
MEM 78.851562 1766145485.5288
MEM 78.859375 1766145485.6325
MEM 78.859375 1766145485.7328
MEM 78.859375 1766145485.8332
MEM 78.859375 1766145485.9338
MEM 78.859375 1766145486.0344
MEM 78.871094 1766145486.1352
MEM 79.000000 1766145486.2463
MEM 79.035156 1766145486.3466
