CMDLINE python .\QIX_Raphael_DAVIOT_Nael_AIT_AISSI.py
MEM 2.062500 1766156818.3332
MEM 20.792969 1766156818.4564
MEM 31.480469 1766156818.5693
MEM 39.578125 1766156818.6814
MEM 44.058594 1766156818.8353
MEM 48.949219 1766156818.9568
MEM 54.031250 1766156819.0884
MEM 54.031250 1766156819.2054
MEM 54.042969 1766156819.3181
MEM 47.125000 1766156819.4305
MEM 47.125000 1766156819.5442
MEM 47.132812 1766156819.6562
MEM 47.132812 1766156819.7688
MEM 47.132812 1766156819.8813
MEM 47.132812 1766156819.9937
MEM 47.132812 1766156820.1078
MEM 47.132812 1766156820.2189
MEM 47.132812 1766156820.3305
MEM 47.132812 1766156820.4417
MEM 47.132812 1766156820.5526
MEM 47.132812 1766156820.6634
MEM 47.132812 1766156820.7853
MEM 47.132812 1766156820.8967
MEM 47.132812 1766156821.0096
MEM 47.132812 1766156821.1212
MEM 47.132812 1766156821.2315
MEM 47.132812 1766156821.3426
MEM 47.132812 1766156821.4649
MEM 47.132812 1766156821.5758
MEM 47.132812 1766156821.6864
MEM 47.132812 1766156821.7987
MEM 47.132812 1766156821.9109
MEM 47.132812 1766156822.0265
MEM 47.132812 1766156822.1372
MEM 47.132812 1766156822.2482
MEM 47.132812 1766156822.3742
MEM 47.132812 1766156822.4849
MEM 47.132812 1766156822.6003
MEM 47.132812 1766156822.7131
MEM 47.132812 1766156822.8341
MEM 47.132812 1766156822.9450
MEM 47.132812 1766156823.0560
MEM 47.132812 1766156823.1681
MEM 47.132812 1766156823.2795
MEM 47.132812 1766156823.3926
MEM 47.132812 1766156823.5040
MEM 47.171875 1766156823.6453
MEM 47.980469 1766156823.7697
MEM 54.574219 1766156823.9087
MEM 56.558594 1766156824.0410
MEM 56.609375 1766156824.1796
MEM 56.609375 1766156824.2922
MEM 56.609375 1766156824.4088
MEM 56.609375 1766156824.5206
MEM 52.539062 1766156824.6320
MEM 52.539062 1766156824.7431
MEM 52.539062 1766156824.8564
MEM 52.539062 1766156824.9685
MEM 52.539062 1766156825.0900
MEM 52.539062 1766156825.2138
MEM 52.539062 1766156825.3258
MEM 52.539062 1766156825.4394
MEM 52.539062 1766156825.5502
MEM 52.539062 1766156825.6619
MEM 52.539062 1766156825.7863
MEM 52.539062 1766156825.8980
MEM 52.539062 1766156826.0240
MEM 52.539062 1766156826.1365
MEM 52.539062 1766156826.2514
MEM 52.539062 1766156826.3639
MEM 52.539062 1766156826.4763
MEM 52.539062 1766156826.5867
MEM 52.539062 1766156826.6980
MEM 52.554688 1766156826.8153
MEM 46.007812 1766156826.9349
MEM 55.863281 1766156827.0702
MEM 57.039062 1766156827.2272
MEM 57.042969 1766156827.3456
MEM 57.046875 1766156827.4762
MEM 57.046875 1766156827.5915
MEM 57.050781 1766156827.7045
MEM 50.320312 1766156827.8164
MEM 50.320312 1766156827.9292
MEM 50.410156 1766156828.0923
MEM 50.429688 1766156828.2276
MEM 50.429688 1766156828.3543
MEM 50.437500 1766156828.4692
MEM 50.542969 1766156828.5803
MEM 50.550781 1766156828.6911
MEM 50.460938 1766156828.8026
MEM 50.472656 1766156828.9136
MEM 50.480469 1766156829.0261
MEM 50.484375 1766156829.1389
MEM 50.503906 1766156829.2500
MEM 50.515625 1766156829.3605
MEM 50.519531 1766156829.4714
MEM 50.527344 1766156829.5823
MEM 50.953125 1766156829.6949
MEM 50.726562 1766156829.8084
MEM 50.726562 1766156829.9246
MEM 50.726562 1766156830.0394
MEM 50.726562 1766156830.1506
MEM 50.726562 1766156830.2612
MEM 50.765625 1766156830.3723
MEM 50.804688 1766156830.4832
MEM 50.968750 1766156830.5935
MEM 51.074219 1766156830.7047
MEM 51.074219 1766156830.8156
MEM 51.074219 1766156830.9264
MEM 51.074219 1766156831.0395
MEM 51.074219 1766156831.1507
MEM 51.074219 1766156831.2617
MEM 50.726562 1766156831.3725
MEM 50.726562 1766156831.4867
MEM 50.757812 1766156831.5980
MEM 50.796875 1766156831.7085
MEM 50.796875 1766156831.8205
MEM 50.796875 1766156831.9334
MEM 50.910156 1766156832.0449
MEM 50.910156 1766156832.1559
MEM 50.910156 1766156832.2673
MEM 50.910156 1766156832.3784
MEM 50.910156 1766156832.4896
MEM 50.757812 1766156832.6023
MEM 50.800781 1766156832.7132
MEM 50.800781 1766156832.8251
MEM 50.800781 1766156832.9376
MEM 50.800781 1766156833.0489
MEM 50.800781 1766156833.1602
MEM 50.800781 1766156833.2713
MEM 50.800781 1766156833.3820
MEM 50.800781 1766156833.4936
MEM 50.750000 1766156833.6072
MEM 50.800781 1766156833.7197
MEM 50.800781 1766156833.8329
MEM 50.800781 1766156833.9462
MEM 50.800781 1766156834.0597
MEM 50.800781 1766156834.1973
MEM 50.800781 1766156834.3364
MEM 50.808594 1766156834.4536
MEM 50.808594 1766156834.5785
MEM 50.796875 1766156834.7226
MEM 50.796875 1766156834.8813
MEM 50.796875 1766156834.9956
MEM 50.796875 1766156835.1078
MEM 50.796875 1766156835.2189
MEM 50.796875 1766156835.3322
MEM 50.796875 1766156835.4466
MEM 50.796875 1766156835.5712
MEM 50.777344 1766156835.6858
MEM 50.800781 1766156835.8006
MEM 50.800781 1766156835.9122
MEM 50.800781 1766156836.0242
MEM 50.800781 1766156836.1626
MEM 50.800781 1766156836.2909
MEM 50.800781 1766156836.4033
MEM 50.800781 1766156836.5139
MEM 50.800781 1766156836.6254
MEM 50.808594 1766156836.7367
MEM 50.808594 1766156836.8486
MEM 50.808594 1766156836.9605
MEM 50.808594 1766156837.0715
MEM 50.808594 1766156837.1825
MEM 50.808594 1766156837.2937
MEM 50.808594 1766156837.4044
MEM 50.808594 1766156837.5162
MEM 50.808594 1766156837.6297
MEM 50.789062 1766156837.7418
MEM 50.789062 1766156837.8547
MEM 50.789062 1766156837.9651
MEM 50.789062 1766156838.0761
MEM 50.789062 1766156838.1868
MEM 50.789062 1766156838.2974
MEM 50.789062 1766156838.4115
MEM 50.789062 1766156838.5235
MEM 50.789062 1766156838.6355
MEM 50.722656 1766156838.7479
MEM 50.722656 1766156838.8631
MEM 50.722656 1766156838.9754
MEM 50.722656 1766156839.0859
MEM 50.722656 1766156839.1987
MEM 50.722656 1766156839.3105
MEM 50.722656 1766156839.4215
MEM 50.722656 1766156839.5330
MEM 50.722656 1766156839.6460
MEM 50.722656 1766156839.7578
MEM 50.722656 1766156839.8687
MEM 50.722656 1766156839.9800
MEM 50.722656 1766156840.1066
MEM 50.722656 1766156840.2179
MEM 50.722656 1766156840.3332
MEM 50.722656 1766156840.4475
MEM 50.722656 1766156840.5600
MEM 50.722656 1766156840.6723
MEM 50.722656 1766156840.7970
MEM 50.722656 1766156840.9112
MEM 50.722656 1766156841.0228
MEM 50.722656 1766156841.1520
MEM 50.722656 1766156841.2662
MEM 50.722656 1766156841.3770
MEM 50.722656 1766156841.4898
MEM 50.722656 1766156841.6269
MEM 50.722656 1766156841.7389
MEM 50.722656 1766156841.8540
MEM 50.722656 1766156841.9721
MEM 50.722656 1766156842.0833
MEM 50.722656 1766156842.1942
MEM 50.722656 1766156842.3053
MEM 50.722656 1766156842.4161
MEM 50.722656 1766156842.5280
MEM 50.722656 1766156842.6520
MEM 50.722656 1766156842.7673
MEM 50.722656 1766156842.8783
MEM 50.722656 1766156842.9886
MEM 50.722656 1766156843.0995
MEM 51.097656 1766156843.2227
