CMDLINE C:\Users\riche\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.13_qbz5n2kfra8p0\python.exe QIX_Raphael_DAVIOT_&_Nael_AIT_AISSI.py
MEM 2.113281 1766143932.0578
MEM 16.812500 1766143932.1581
MEM 24.285156 1766143932.2585
MEM 29.929688 1766143932.3587
MEM 34.218750 1766143932.4592
MEM 39.046875 1766143932.5598
MEM 43.671875 1766143932.6605
MEM 47.621094 1766143932.7611
MEM 54.457031 1766143932.8618
MEM 56.531250 1766143932.9622
MEM 62.429688 1766143933.0629
MEM 78.390625 1766143933.1631
MEM 80.386719 1766143933.2633
MEM 83.617188 1766143933.3654
MEM 92.902344 1766143933.4823
MEM 94.398438 1766143933.6596
MEM 94.527344 1766143933.7600
MEM 94.527344 1766143933.8603
MEM 94.539062 1766143933.9607
MEM 94.539062 1766143934.0610
MEM 80.101562 1766143934.1615
MEM 80.101562 1766143934.2623
MEM 80.101562 1766143934.3628
MEM 80.101562 1766143934.4635
MEM 80.117188 1766143934.5639
MEM 80.117188 1766143934.6645
MEM 80.117188 1766143934.7651
MEM 80.117188 1766143934.8654
MEM 80.117188 1766143934.9661
MEM 80.117188 1766143935.0667
MEM 80.117188 1766143935.1670
MEM 80.117188 1766143935.2672
MEM 80.117188 1766143935.3678
MEM 80.117188 1766143935.4684
MEM 80.117188 1766143935.5687
MEM 80.117188 1766143935.6693
MEM 80.117188 1766143935.7697
MEM 80.117188 1766143935.8700
MEM 80.117188 1766143935.9706
MEM 80.117188 1766143936.0712
MEM 80.117188 1766143936.1714
MEM 80.117188 1766143936.2719
MEM 80.117188 1766143936.3725
MEM 80.117188 1766143936.4730
MEM 80.117188 1766143936.5737
MEM 80.117188 1766143936.6742
MEM 80.117188 1766143936.7746
MEM 80.117188 1766143936.8751
MEM 80.117188 1766143936.9755
MEM 80.117188 1766143937.0761
MEM 80.117188 1766143937.1765
MEM 80.117188 1766143937.2773
MEM 80.117188 1766143937.3778
MEM 80.117188 1766143937.4782
MEM 80.117188 1766143937.5785
MEM 80.117188 1766143937.6791
MEM 80.117188 1766143937.7796
MEM 80.117188 1766143937.8802
MEM 80.117188 1766143937.9804
MEM 80.117188 1766143938.0807
MEM 80.117188 1766143938.1812
MEM 80.117188 1766143938.2815
MEM 80.117188 1766143938.3820
MEM 80.117188 1766143938.4827
MEM 80.117188 1766143938.5831
MEM 80.117188 1766143938.6834
MEM 80.117188 1766143938.7837
MEM 80.117188 1766143938.8840
MEM 80.117188 1766143938.9847
MEM 80.117188 1766143939.0855
MEM 80.117188 1766143939.1857
MEM 80.117188 1766143939.2862
MEM 80.128906 1766143939.3865
MEM 80.445312 1766143939.4876
MEM 83.093750 1766143939.5880
MEM 91.882812 1766143939.6884
MEM 91.933594 1766143939.7888
MEM 91.933594 1766143939.8896
MEM 91.933594 1766143939.9903
MEM 91.933594 1766143940.0911
MEM 91.933594 1766143940.1916
MEM 91.933594 1766143940.2923
MEM 85.257812 1766143940.3928
MEM 85.257812 1766143940.4934
MEM 85.257812 1766143940.5938
MEM 85.257812 1766143940.6948
MEM 85.257812 1766143940.7954
MEM 85.257812 1766143940.8956
MEM 85.257812 1766143940.9961
MEM 85.257812 1766143941.0966
MEM 85.257812 1766143941.1968
MEM 85.257812 1766143941.2971
MEM 85.257812 1766143941.3976
MEM 85.257812 1766143941.4979
MEM 85.257812 1766143941.5986
MEM 85.257812 1766143941.6987
MEM 85.257812 1766143941.7990
MEM 85.257812 1766143941.8996
MEM 85.257812 1766143942.0003
MEM 85.257812 1766143942.1010
MEM 85.257812 1766143942.2014
MEM 85.257812 1766143942.3021
MEM 85.257812 1766143942.4024
MEM 85.257812 1766143942.5027
MEM 85.269531 1766143942.6029
MEM 77.890625 1766143942.7034
MEM 78.992188 1766143942.8475
MEM 79.710938 1766143942.9479
MEM 85.789062 1766143943.0486
MEM 85.804688 1766143943.1493
MEM 85.816406 1766143943.2499
MEM 85.820312 1766143943.3502
MEM 85.824219 1766143943.4508
MEM 85.828125 1766143943.5511
MEM 82.968750 1766143943.6515
MEM 83.000000 1766143943.7521
MEM 83.015625 1766143943.8532
MEM 83.015625 1766143943.9539
MEM 83.093750 1766143944.0545
MEM 83.093750 1766143944.1549
MEM 83.097656 1766143944.2555
MEM 83.097656 1766143944.3557
MEM 83.113281 1766143944.4559
MEM 83.117188 1766143944.5563
MEM 83.093750 1766143944.6568
MEM 83.210938 1766143944.7571
MEM 83.218750 1766143944.8576
MEM 83.226562 1766143944.9583
MEM 83.230469 1766143945.0586
MEM 83.234375 1766143945.1589
MEM 83.238281 1766143945.2595
MEM 83.242188 1766143945.3599
MEM 83.242188 1766143945.4602
MEM 83.246094 1766143945.5606
MEM 83.175781 1766143945.6609
MEM 83.191406 1766143945.7616
MEM 83.195312 1766143945.8621
MEM 83.195312 1766143945.9624
MEM 83.199219 1766143946.0629
MEM 83.199219 1766143946.1632
MEM 83.199219 1766143946.2635
MEM 83.199219 1766143946.3643
MEM 83.761719 1766143946.4646
MEM 83.804688 1766143946.5651
MEM 83.320312 1766143946.6655
MEM 83.320312 1766143946.7660
MEM 83.320312 1766143946.8667
MEM 83.320312 1766143946.9670
MEM 83.320312 1766143947.0672
MEM 83.335938 1766143947.1675
MEM 83.367188 1766143947.2678
MEM 83.449219 1766143947.3681
MEM 83.511719 1766143947.4687
MEM 83.562500 1766143947.5694
MEM 83.617188 1766143947.6702
MEM 83.621094 1766143947.7707
MEM 83.621094 1766143947.8714
MEM 83.648438 1766143947.9719
MEM 83.648438 1766143948.0725
MEM 83.390625 1766143948.1727
MEM 83.511719 1766143948.2733
MEM 83.515625 1766143948.3741
MEM 83.515625 1766143948.4745
MEM 83.515625 1766143948.5747
MEM 83.531250 1766143948.6754
MEM 83.539062 1766143948.7758
MEM 83.539062 1766143948.8761
MEM 83.554688 1766143948.9769
MEM 83.558594 1766143949.0771
MEM 83.445312 1766143949.1773
MEM 83.468750 1766143949.2776
MEM 83.476562 1766143949.3778
MEM 83.480469 1766143949.4782
MEM 83.500000 1766143949.5787
MEM 83.503906 1766143949.6790
MEM 83.519531 1766143949.7794
MEM 84.218750 1766143949.8796
MEM 84.226562 1766143949.9800
MEM 84.312500 1766143950.0802
MEM 83.574219 1766143950.1808
MEM 83.578125 1766143950.2810
MEM 83.582031 1766143950.3813
MEM 83.585938 1766143950.4817
MEM 83.621094 1766143950.5819
MEM 83.625000 1766143950.6824
MEM 83.628906 1766143950.7828
MEM 83.718750 1766143950.8830
MEM 83.726562 1766143950.9836
MEM 83.742188 1766143951.0842
MEM 83.750000 1766143951.1845
MEM 83.750000 1766143951.2852
MEM 83.750000 1766143951.3855
MEM 83.816406 1766143951.4861
MEM 83.816406 1766143951.5868
MEM 83.820312 1766143951.6872
MEM 83.820312 1766143951.7875
MEM 83.667969 1766143951.8879
MEM 83.667969 1766143951.9884
